Points,WideArea,NarrowArea
100,1.06943,1
600,0.988417,0.952083
1100,1.02524,0.934091
1600,0.838534,0.951563
2100,0.874992,0.947619
2600,0.960996,0.937019
3100,0.959669,0.943145
3600,0.918202,0.926042
4100,1.02675,0.956402
4600,0.948965,0.942391
5100,0.993183,0.942892
5600,0.868048,0.943304
6100,0.895712,0.931148
6600,0.916238,0.932197
7100,0.917441,0.944542
7600,0.951746,0.948849
8100,0.951809,0.940586
8600,0.984649,0.95189
9100,0.923069,0.954808
9600,0.968163,0.944401
10100,0.951037,0.944307
10600,0.929106,0.953184
11100,0.924917,0.950225
11600,0.955451,0.94375
12100,0.95534,0.947004
12600,0.95138,0.949603
13100,0.948465,0.948187
13600,0.945049,0.942831
14100,0.912226,0.93484
14600,0.916278,0.942551
15100,0.932295,0.943874
15600,0.946662,0.941186
16100,0.943228,0.944177
16600,0.962257,0.944352
17100,0.948903,0.941447
17600,0.994309,0.944389
18100,0.974899,0.936257
18600,0.920467,0.946304
19100,0.950326,0.944764
19600,0.964773,0.947003
20100,0.932067,0.941107
20600,0.919827,0.950425
21100,0.955626,0.944076
21600,0.942957,0.939699
22100,0.966495,0.940611
22600,0.919301,0.950442
23100,0.937702,0.943182
23600,0.943789,0.94804
24100,0.968986,0.945902
24600,0.969447,0.94563
25100,0.931543,0.941683
25600,0.94449,0.948096
26100,0.941669,0.944109
26600,0.95467,0.940836
27100,0.935621,0.943173
27600,0.944386,0.945109
28100,0.970484,0.944884
28600,0.953177,0.946941
29100,0.945152,0.936254
29600,0.94758,0.940245
30100,0.952511,0.949045
30600,0.964906,0.942974
31100,0.92501,0.94385
31600,0.956523,0.944739
32100,0.970396,0.943575
32600,0.918831,0.943213
33100,0.931386,0.945582
33600,0.955431,0.949628
34100,0.949975,0.947067
34600,0.946925,0.947905
35100,0.953379,0.943234
35600,0.971121,0.945049
36100,0.945821,0.951177
36600,0.955479,0.944194
37100,0.947319,0.93723
37600,0.924637,0.946676
38100,0.968386,0.951739
38600,0.931411,0.947183
39100,0.94163,0.945492
39600,0.936615,0.944697
40100,0.953545,0.943049
40600,0.925519,0.948553
41100,0.930581,0.946259
41600,0.962398,0.942007
42100,0.953508,0.943438
42600,0.94574,0.945657
43100,0.935671,0.949739
43600,0.951476,0.945356
44100,0.938925,0.945295
44600,0.943658,0.940135
45100,0.948501,0.945427
45600,0.953025,0.944682
46100,0.961458,0.940998
46600,0.947387,0.944126
47100,0.924532,0.94517
47600,0.950155,0.944512
48100,0.933204,0.944101
48600,0.931605,0.943416
49100,0.950631,0.947301
49600,0.935952,0.940323
50100,0.963287,0.948004
50600,0.957035,0.944442
51100,0.959657,0.946722
51600,0.939618,0.942054
52100,0.936385,0.941411
52600,0.94837,0.944344
53100,0.944201,0.943644
53600,0.9285,0.946035
54100,0.941663,0.946996
54600,0.943546,0.942857
55100,0.939924,0.945168
55600,0.955777,0.946673
56100,0.943966,0.945811
56600,0.933566,0.943573
57100,0.940544,0.94549
57600,0.972045,0.941992
58100,0.948954,0.945955
58600,0.929078,0.942811
59100,0.89391,0.943613
59600,0.936,0.94419
60100,0.933713,0.943324
60600,0.962267,0.9454
61100,0.963621,0.946256
61600,0.925023,0.94795
62100,0.931822,0.945914
62600,0.95746,0.945747
63100,0.934927,0.941264
63600,0.935373,0.943298
64100,0.942031,0.943526
64600,0.953853,0.943673
65100,0.955935,0.943184
65600,0.967471,0.94173
66100,0.939856,0.948355
66600,0.938347,0.94268
67100,0.94425,0.948491
67600,0.931944,0.943898
68100,0.939378,0.942438
68600,0.932815,0.946902
69100,0.934226,0.942728
69600,0.967185,0.945726
70100,0.963199,0.947432
70600,0.948666,0.940687
71100,0.939396,0.944884
71600,0.932157,0.939804
72100,0.94093,0.943741
72600,0.951591,0.94239
73100,0.948274,0.945588
73600,0.929283,0.94285
74100,0.935739,0.94219
74600,0.956835,0.942426
75100,0.931694,0.94504
75600,0.936463,0.944907
76100,0.941808,0.946173
76600,0.926522,0.945757
77100,0.923414,0.946385
77600,0.940642,0.94607
78100,0.937607,0.943646
78600,0.953907,0.940235
79100,0.924156,0.944406
79600,0.944,0.946859
80100,0.916988,0.945194
80600,0.935906,0.941362
81100,0.94608,0.94348
81600,0.945645,0.945573
82100,0.935267,0.945661
82600,0.951734,0.944628
83100,0.953846,0.942043
83600,0.940814,0.942315
84100,0.948515,0.942375
84600,0.94222,0.942139
85100,0.925716,0.945858
85600,0.951656,0.944495
86100,0.962503,0.943902
86600,0.954251,0.943144
87100,0.946094,0.943025
87600,0.947908,0.944064
88100,0.935135,0.944793
88600,0.948073,0.945076
89100,0.92955,0.944501
89600,0.953551,0.94361
90100,0.93326,0.943493
90600,0.950215,0.944716
91100,0.959194,0.943839
91600,0.936764,0.942836
92100,0.929567,0.944245
92600,0.935572,0.945694
93100,0.930861,0.946885
93600,0.943442,0.9457
94100,0.949277,0.945656
94600,0.935833,0.94564
95100,0.965569,0.943875
95600,0.957468,0.942822
96100,0.945202,0.943067
96600,0.948864,0.944216
97100,0.938471,0.943898
97600,0.952291,0.943776
98100,0.955465,0.941208
98600,0.961269,0.945702
99100,0.945824,0.948373
99600,0.941271,0.943035
