Size,Random,Decrease,NearSorted
500,0,0,0
600,0,0,0
700,0,0,0
800,0,0,0
900,0,0,0
1000,1,1,1
1100,1,1,1
1200,1,1,1
1300,1,1,1
1400,1,1,1
1500,1,1,1
1600,1,1,1
1700,1,1,1
1800,1,1,1
1900,1,1,1
2000,2,2,2
2100,3,3,3
2200,3,3,3
2300,3,3,3
2400,3,3,3
2500,3,3,3
2600,3,3,3
2700,3,3,3
2800,3,3,3
2900,3,3,3
3000,3,3,3
3100,4,3,3
3200,4,4,3
3300,4,4,3
3400,4,4,3
3500,4,4,3
3600,4,4,3
3700,4,4,4
3800,4,4,4
3900,4,4,4
4000,5,5,4
4100,6,5,5
4200,6,6,5
4300,6,6,5
4400,6,6,5
4500,6,6,5
4600,6,6,6
4700,6,6,6
4800,6,6,6
4900,6,6,6
5000,6,6,6
5100,7,6,6
5200,7,6,6
5300,7,6,6
5400,7,6,6
5500,7,7,6
5600,7,7,6
5700,7,7,6
5800,7,7,6
5900,7,7,6
6000,7,7,6
6100,7,7,7
6200,7,7,7
6300,8,7,7
6400,8,7,7
6500,8,7,7
6600,8,7,7
6700,8,7,7
6800,8,8,7
6900,8,8,7
7000,8,8,7
7100,8,8,7
7200,8,8,7
7300,8,8,7
7400,8,8,7
7500,8,8,7
7600,8,8,7
7700,9,8,8
7800,9,9,8
7900,10,10,9
8000,11,10,10
8100,12,11,11
8200,12,12,12
8300,13,12,12
8400,13,12,12
8500,13,12,12
8600,13,12,12
8700,13,12,12
8800,13,12,12
8900,13,12,12
9000,14,13,12
9100,13,13,12
9200,13,13,12
9300,13,13,12
9400,13,13,12
9500,14,13,12
9600,14,13,12
9700,14,13,12
9800,14,13,12
9900,14,13,13
10000,14,13,13
