Size,Random,Decrease,NearSorted
500,0,0,0
700,0,0,0
900,0,0,0
1100,0,0,0
1300,0,0,0
1500,1,1,1
1700,1,1,1
1900,2,2,1
2100,1,1,1
2300,1,1,1
2500,2,2,2
2700,1,1,1
2900,3,2,2
3100,2,2,3
3300,2,2,2
3500,2,2,2
3700,2,2,2
3900,3,3,2
4100,4,4,3
4300,4,4,4
4500,4,5,4
4700,5,4,5
4900,3,3,3
5100,4,4,4
5300,6,5,5
5500,5,4,6
5700,4,4,5
5900,4,5,6
6100,6,6,6
6300,9,11,12
6500,9,10,10
6700,10,9,10
6900,10,9,9
7100,10,10,9
7300,11,11,10
7500,11,11,11
7700,18,21,19
7900,12,11,11
8100,18,20,11
8300,13,12,12
8500,13,13,14
8700,13,13,18
8900,17,15,23
9100,16,13,15
9300,14,15,14
9500,15,14,16
9700,18,15,15
9900,15,15,14
