Size,Random,Decrease,NearSorted
500,2,2,1
700,3,2,1
900,2,3,2
1100,3,4,4
1300,5,5,4
1500,5,3,3
1700,4,5,6
1900,5,6,7
2100,6,7,5
2300,11,17,13
2500,13,16,16
2700,17,17,15
2900,15,20,15
3100,16,14,17
3300,18,14,18
3500,13,17,17
3700,12,14,11
3900,12,11,13
4100,11,19,17
4300,18,17,17
4500,17,15,14
4700,14,12,17
4900,16,22,24
5100,16,18,25
5300,28,28,15
5500,17,25,25
5700,17,27,19
5900,27,20,17
6100,26,21,28
6300,26,32,36
6500,49,37,37
6700,46,38,38
6900,45,47,55
7100,55,60,44
7300,63,58,48
7500,42,47,46
7700,46,44,62
7900,53,56,53
8100,63,82,54
8300,60,58,55
8500,69,51,50
8700,56,52,50
8900,57,53,53
9100,63,55,60
9300,81,88,60
9500,68,76,56
9700,74,65,65
9900,62,61,67
